"",SW1Sq1Se2,2.1,1.4,0.7,2.6,-0.7,-1.4,-1.9
"",SW1Sq1Se3,2.1,1.4,0.7,3.3,-0.7,-1.4,-2.0
"",SW1Sq1Se4,2.1,1.4,0.7,4.1,-0.7,-1.4,-2.1
1st Sequence 2nd Section,SW1Sq2Se1,2.5,1.7,0.8,2.0,-0.5,-1.1,-1.7
"",SW1Sq2Se2,2.5,1.7,0.8,2.9,-0.8,-1.7,-2.2
"",SW1Sq2Se3,2.5,1.7,0.8,3.7,-0.8,-1.7,-2.4
"",SW1Sq2Se4,2.5,1.7,0.8,4.6,-0.8,-1.7,-2.5
2nd Sequence 1st Section,SW2Sq1Se1,2.9,1.9,1.0,2.2,-0.7,-1.3,-1.9
"",SW2Sq1Se2,2.9,1.9,1.0,3.1,-1.0,-1.9,-2.3
"",SW2Sq1Se3,2.9,1.9,1.0,4.1,-1.0,-1.9,-2.8
"",SW2Sq1Se4,2.9,1.9,1.0,5.0,-1.0,-1.9,-2.9
2nd Sequence 2nd Section,SW2Sq2Se1,3.3,2.2,1.1,2.4,-0.9,-1.5,-2.1
"",SW2Sq2Se2,3.3,2.2,1.1,3.4,-1.1,-2.2,-2.6
"",SW2Sq2Se3,3.3,2.2,1.1,4.5,-1.1,-2.2,-3.1
"",SW2Sq2Se4,3.3,2.2,1.1,5.5,-1.1,-2.2,-3.3
1st Sequence,KI1Sq1,1.4,1.0,0.5,1.2,-0.2,-0.6,-1.0
"",KI1Sq2,1.4,1.0,0.5,1.7,-0.5,-1.0,-1.2
"",KI1Sq3,1.4,1.0,0.5,2.2,-0.5,-1.0,-1.4
"",KI1Sq4,1.4,1.0,0.5,2.7,-0.5,-1.0,-1.4
2nd Sequence,KI2Sq1,1.5,1.1,0.5,1.2,-0.2,-0.6,-1.0
"",KI2Sq2,1.5,1.1,0.5,1.8,-0.5,-1.1,-1.3
"",KI2Sq3,1.5,1.1,0.5,2.4,-0.5,-1.1,-1.5
"",KI2Sq4,1.5,1.1,0.5,2.9,-0.5,-1.1,-1.5
3rd Sequence,KI3Sq1,1.7,1.2,0.6,1.4,-0.4,-0.8,-1.2
"",KI3Sq2,1.7,1.2,0.6,1.9,-0.6,-1.2,-1.4
"",KI3Sq3,1.7,1.2,0.6,2.6,-0.6,-1.2,-1.7
"",KI3Sq4,1.7,1.2,0.6,3.1,-0.6,-1.2,-1.7
4th Sequence,KI4Sq1,1.9,1.2,0.6,1.4,-0.4,-0.8,-1.2
"",KI4Sq2,1.9,1.2,0.6,2.1,-0.6,-1.2,-1.6
"",KI4Sq3,1.9,1.2,0.6,2.6,-0.6,-1.2,-1.7
"",KI4Sq4,1.9,1.2,0.6,3.3,-0.6,-1.2,-1.9
5th Sequence,KI5Sq1,2.1,1.3,0.7,1.6,-0.6,-1.0,-1.4
"",KI5Sq2,2.1,1.3,0.7,2.2,-0.7,-1.3,-1.7
"",KI5Sq3,2.1,1.3,0.7,2.8,-0.7,-1.3,-1.9
"",KI5Sq4,2.1,1.3,0.7,3.5,-0.7,-1.3,-2.1
6th Sequence,KI6Sq1,2.2,1.4,0.7,1.6,-0.6,-1.0,-1.4
"",KI6Sq2,2.2,1.4,0.7,2.3,-0.7,-1.4,-1.8
"",KI6Sq3,2.2,1.4,0.7,3.0,-0.7,-1.4,-2.1
"",KI6Sq4,2.2,1.4,0.7,3.7,-0.7,-1.4,-2.2
1st Sequence,TA1Sq1,4.2,2.8,1.4,3.6,-0.6,-1.8,-3.0
"",TA1Sq2,4.2,2.8,1.4,5.1,-1.4,-2.8,-3.6
"",TA1Sq3,4.2,2.8,1.4,6.7,-1.4,-2.8,-4.1
"",TA1Sq4,4.2,2.8,1.4,8.2,-1.4,-2.8,-4.2
2nd Sequence,TA2Sq1,6.6,4.4,2.2,4.8,-1.8,-3.0,-4.2
"",TA2Sq2,6.6,4.4,2.2,6.9,-2.2,-4.4,-5.4
"",TA2Sq3,6.6,4.4,2.2,8.9,-2.2,-4.4,-6.2
"",TA2Sq4,6.6,4.4,2.2,11.0,-2.2,-4.4,-6.6
1st Sequence,BL1Sq1,2.8,1.9,1.0,2.4,-0.4,-1.2,-2.0
"",BL1Sq2,2.8,1.9,1.0,3.4,-1.0,-1.9,-2.4
"",BL1Sq3,2.8,1.9,1.0,4.4,-1.0,-1.9,-2.7
"",BL1Sq4,2.8,1.9,1.0,5.5,-1.0,-1.9,-2.8
2nd Sequence,BL2Sq1,3.6,2.4,1.2,2.8,-0.8,-1.6,-2.4
"",BL2Sq2,3.6,2.4,1.2,4.0,-1.2,-2.4,-3.0
"",BL2Sq3,3.6,2.4,1.2,5.2,-1.2,-2.4,-3.4
"",BL2Sq4,3.6,2.4,1.2,6.4,-1.2,-2.4,-3.6
3rd Sequence,BL3Sq1,4.4,2.9,1.4,3.2,-1.2,-2.0,-2.8
"",BL3Sq2,4.4,2.9,1.4,4.6,-1.4,-2.9,-3.6
"",BL3Sq3,4.4,2.9,1.4,6.0,-1.4,-2.9,-4.2
"",BL3Sq4,4.4,2.9,1.4,7.3,-1.4,-2.9,-4.4
1st Sequence,FO1Sq,2.1,1.4,0.7,3.3,-0.7,-1.4,-2.1
2nd Sequence,FO2Sq,2.5,1.7,0.8,3.7,-0.8,-1.7,-2.5
