clean_judge_name,judge_country
Tetsuo  ABE,JPN
Thomas BIEGLER,AUT
Tianyi ZHANG,CHN
Tineke POSNO,NED
Tiziana MORANDI,ITA
Tomie FUKUDOME,JPN
Tomiko YAMADA,JPN
Ulla FAIG,GER
Vera TAUCHMANOVA,CZE
Veronique VERRUE,FRA
Vessela POPOVA,BUL
Vladimir CUCHRAN,SVK
Vladislav PETUKHOV,UKR
Walter TOIGO,ITA
Walter ZUCCARO,ITA
Wei SHI,CHN
Weiguang CHEN,CHN
Wendy ENZMANN,USA
Xixia LIU,CHN
Yoko KUNO,JPN
Yu WANG,CHN
Yuko OGAWA,JPN
Yumin WANG,CHN
Yuri GUSKOV,KAZ
Yury KLIUSHNIKOV,UKR
Zanna KULIK,EST
Zsuzsanna HOMOLYA,HUN
Zuzana PLESNIKOVA,CZE
