judge_name,assigned_country,role,segment_category,pdf_name,program,competition,officials_table_link,results_pdf_link,clean_judge_name
Mr. Sylvain GUIBORD,CAN,Judge No.1,Free Dance|Ice Dance,78cb8c39a9_gpcan2016_IceDance_FD_Scores.pdf,ICE DANCE FREE DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG008OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_FD_Scores.pdf,Sylvain GUIBORD
Mr. Kenji AMAKO,JPN,Judge No.2,Free Dance|Ice Dance,78cb8c39a9_gpcan2016_IceDance_FD_Scores.pdf,ICE DANCE FREE DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG008OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_FD_Scores.pdf,Kenji AMAKO
Mr. Richard DALLEY,USA,Judge No.3,Free Dance|Ice Dance,78cb8c39a9_gpcan2016_IceDance_FD_Scores.pdf,ICE DANCE FREE DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG008OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_FD_Scores.pdf,Richard DALLEY
Mr. Leo  LENKOLA,FIN,Judge No.4,Free Dance|Ice Dance,78cb8c39a9_gpcan2016_IceDance_FD_Scores.pdf,ICE DANCE FREE DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG008OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_FD_Scores.pdf,Leo LENKOLA
Mr. Feng HUANG,CHN,Judge No.5,Free Dance|Ice Dance,78cb8c39a9_gpcan2016_IceDance_FD_Scores.pdf,ICE DANCE FREE DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG008OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_FD_Scores.pdf,Feng HUANG
Mr. Jeroen PRINS,NED,Judge No.6,Free Dance|Ice Dance,78cb8c39a9_gpcan2016_IceDance_FD_Scores.pdf,ICE DANCE FREE DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG008OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_FD_Scores.pdf,Jeroen PRINS
Ms. Lolita LABUNSKAIYA,RUS,Judge No.7,Free Dance|Ice Dance,78cb8c39a9_gpcan2016_IceDance_FD_Scores.pdf,ICE DANCE FREE DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG008OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_FD_Scores.pdf,Lolita LABUNSKAIYA
Ms. Michela CESARO,ITA,Judge No.8,Free Dance|Ice Dance,78cb8c39a9_gpcan2016_IceDance_FD_Scores.pdf,ICE DANCE FREE DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG008OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_FD_Scores.pdf,Michela CESARO
Ms. Chihee RHEE,KOR,Judge No.9,Free Dance|Ice Dance,78cb8c39a9_gpcan2016_IceDance_FD_Scores.pdf,ICE DANCE FREE DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG008OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_FD_Scores.pdf,Chihee RHEE
Ms. Lolita LABUNSKAIYA,RUS,Judge No.1,Free Skating|Ladies,d9fad69b29_gpcan2016_Ladies_FS_Scores.pdf,LADIES FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG004OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_FS_Scores.pdf,Lolita LABUNSKAIYA
Mr. Andreas WALDECK,GER,Judge No.2,Free Skating|Ladies,d9fad69b29_gpcan2016_Ladies_FS_Scores.pdf,LADIES FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG004OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_FS_Scores.pdf,Andreas WALDECK
Ms. Saodat NUMANOVA,UZB,Judge No.3,Free Skating|Ladies,d9fad69b29_gpcan2016_Ladies_FS_Scores.pdf,LADIES FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG004OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_FS_Scores.pdf,Saodat NUMANOVA
Ms. Katarina HENRIKSSON,SWE,Judge No.4,Free Skating|Ladies,d9fad69b29_gpcan2016_Ladies_FS_Scores.pdf,LADIES FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG004OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_FS_Scores.pdf,Katarina HENRIKSSON
Ms. Karen HOWARD,CAN,Judge No.5,Free Skating|Ladies,d9fad69b29_gpcan2016_Ladies_FS_Scores.pdf,LADIES FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG004OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_FS_Scores.pdf,Karen HOWARD
Mr. Feng HUANG,CHN,Judge No.6,Free Skating|Ladies,d9fad69b29_gpcan2016_Ladies_FS_Scores.pdf,LADIES FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG004OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_FS_Scores.pdf,Feng HUANG
Ms. Chihee RHEE,KOR,Judge No.7,Free Skating|Ladies,d9fad69b29_gpcan2016_Ladies_FS_Scores.pdf,LADIES FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG004OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_FS_Scores.pdf,Chihee RHEE
Ms. Anne CAMMETT,USA,Judge No.8,Free Skating|Ladies,d9fad69b29_gpcan2016_Ladies_FS_Scores.pdf,LADIES FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG004OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_FS_Scores.pdf,Anne CAMMETT
Mr. Kenji AMAKO,JPN,Judge No.9,Free Skating|Ladies,d9fad69b29_gpcan2016_Ladies_FS_Scores.pdf,LADIES FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG004OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_FS_Scores.pdf,Kenji AMAKO
Ms. Saodat NUMANOVA,UZB,Judge No.1,Free Skating|Men,b82c88edcf_gpcan2016_Men_FS_Scores.pdf,MEN FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG002OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_FS_Scores.pdf,Saodat NUMANOVA
Mr. Kenji AMAKO,JPN,Judge No.2,Free Skating|Men,b82c88edcf_gpcan2016_Men_FS_Scores.pdf,MEN FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG002OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_FS_Scores.pdf,Kenji AMAKO
Ms. Vera TAUCHMANOVA,CZE,Judge No.3,Free Skating|Men,b82c88edcf_gpcan2016_Men_FS_Scores.pdf,MEN FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG002OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_FS_Scores.pdf,Vera TAUCHMANOVA
Mr. Igor OBRAZTSOV,RUS,Judge No.4,Free Skating|Men,b82c88edcf_gpcan2016_Men_FS_Scores.pdf,MEN FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG002OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_FS_Scores.pdf,Igor OBRAZTSOV
Ms. Anne CAMMETT,USA,Judge No.5,Free Skating|Men,b82c88edcf_gpcan2016_Men_FS_Scores.pdf,MEN FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG002OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_FS_Scores.pdf,Anne CAMMETT
Ms. Lynne DEY,CAN,Judge No.6,Free Skating|Men,b82c88edcf_gpcan2016_Men_FS_Scores.pdf,MEN FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG002OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_FS_Scores.pdf,Lynne DEY
Mr. Kfir NATAN,ISR,Judge No.7,Free Skating|Men,b82c88edcf_gpcan2016_Men_FS_Scores.pdf,MEN FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG002OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_FS_Scores.pdf,Kfir NATAN
Mr. Marco BUTTARELLI,ITA,Judge No.8,Free Skating|Men,b82c88edcf_gpcan2016_Men_FS_Scores.pdf,MEN FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG002OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_FS_Scores.pdf,Marco BUTTARELLI
Ms. Wei SHI,CHN,Judge No.9,Free Skating|Men,b82c88edcf_gpcan2016_Men_FS_Scores.pdf,MEN FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG002OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_FS_Scores.pdf,Wei SHI
Ms. Wei SHI,CHN,Judge No.1,Free Skating|Pairs,34685c27ca_gpcan2016_Pairs_FS_Scores.pdf,PAIRS FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG006OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_FS_Scores.pdf,Wei SHI
Ms. Katarina HENRIKSSON,SWE,Judge No.2,Free Skating|Pairs,34685c27ca_gpcan2016_Pairs_FS_Scores.pdf,PAIRS FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG006OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_FS_Scores.pdf,Katarina HENRIKSSON
Mr. Igor OBRAZTSOV,RUS,Judge No.3,Free Skating|Pairs,34685c27ca_gpcan2016_Pairs_FS_Scores.pdf,PAIRS FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG006OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_FS_Scores.pdf,Igor OBRAZTSOV
Mr. Marco BUTTARELLI,ITA,Judge No.4,Free Skating|Pairs,34685c27ca_gpcan2016_Pairs_FS_Scores.pdf,PAIRS FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG006OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_FS_Scores.pdf,Marco BUTTARELLI
Ms. Andrea DERBY,CAN,Judge No.5,Free Skating|Pairs,34685c27ca_gpcan2016_Pairs_FS_Scores.pdf,PAIRS FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG006OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_FS_Scores.pdf,Andrea DERBY
Mr. Jeroen PRINS,NED,Judge No.6,Free Skating|Pairs,34685c27ca_gpcan2016_Pairs_FS_Scores.pdf,PAIRS FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG006OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_FS_Scores.pdf,Jeroen PRINS
Ms. Anne CAMMETT,USA,Judge No.7,Free Skating|Pairs,34685c27ca_gpcan2016_Pairs_FS_Scores.pdf,PAIRS FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG006OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_FS_Scores.pdf,Anne CAMMETT
Mr. Andreas WALDECK,GER,Judge No.8,Free Skating|Pairs,34685c27ca_gpcan2016_Pairs_FS_Scores.pdf,PAIRS FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG006OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_FS_Scores.pdf,Andreas WALDECK
Ms. Vera TAUCHMANOVA,CZE,Judge No.9,Free Skating|Pairs,34685c27ca_gpcan2016_Pairs_FS_Scores.pdf,PAIRS FREE SKATING,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG006OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_FS_Scores.pdf,Vera TAUCHMANOVA
Mr. Sylvain GUIBORD,CAN,Judge No.1,Short Dance|Ice Dance,1dbb417f6e_gpcan2016_IceDance_SD_Scores.pdf,ICE DANCE SHORT DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG007OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_SD_Scores.pdf,Sylvain GUIBORD
Mr. Kenji AMAKO,JPN,Judge No.2,Short Dance|Ice Dance,1dbb417f6e_gpcan2016_IceDance_SD_Scores.pdf,ICE DANCE SHORT DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG007OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_SD_Scores.pdf,Kenji AMAKO
Ms. Chihee RHEE,KOR,Judge No.3,Short Dance|Ice Dance,1dbb417f6e_gpcan2016_IceDance_SD_Scores.pdf,ICE DANCE SHORT DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG007OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_SD_Scores.pdf,Chihee RHEE
Mr. Jeroen PRINS,NED,Judge No.4,Short Dance|Ice Dance,1dbb417f6e_gpcan2016_IceDance_SD_Scores.pdf,ICE DANCE SHORT DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG007OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_SD_Scores.pdf,Jeroen PRINS
Mr. Feng HUANG,CHN,Judge No.5,Short Dance|Ice Dance,1dbb417f6e_gpcan2016_IceDance_SD_Scores.pdf,ICE DANCE SHORT DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG007OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_SD_Scores.pdf,Feng HUANG
Ms. Michela CESARO,ITA,Judge No.6,Short Dance|Ice Dance,1dbb417f6e_gpcan2016_IceDance_SD_Scores.pdf,ICE DANCE SHORT DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG007OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_SD_Scores.pdf,Michela CESARO
Ms. Lolita LABUNSKAIYA,RUS,Judge No.7,Short Dance|Ice Dance,1dbb417f6e_gpcan2016_IceDance_SD_Scores.pdf,ICE DANCE SHORT DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG007OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_SD_Scores.pdf,Lolita LABUNSKAIYA
Mr. Richard DALLEY,USA,Judge No.8,Short Dance|Ice Dance,1dbb417f6e_gpcan2016_IceDance_SD_Scores.pdf,ICE DANCE SHORT DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG007OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_SD_Scores.pdf,Richard DALLEY
Mr. Leo  LENKOLA,FIN,Judge No.9,Short Dance|Ice Dance,1dbb417f6e_gpcan2016_IceDance_SD_Scores.pdf,ICE DANCE SHORT DANCE,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG007OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_IceDance_SD_Scores.pdf,Leo LENKOLA
Ms. Lolita LABUNSKAIYA,RUS,Judge No.1,Short Program|Ladies,5752ad8206_gpcan2016_Ladies_SP_Scores.pdf,LADIES SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG003OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_SP_Scores.pdf,Lolita LABUNSKAIYA
Ms. Katarina HENRIKSSON,SWE,Judge No.2,Short Program|Ladies,5752ad8206_gpcan2016_Ladies_SP_Scores.pdf,LADIES SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG003OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_SP_Scores.pdf,Katarina HENRIKSSON
Mr. Kenji AMAKO,JPN,Judge No.3,Short Program|Ladies,5752ad8206_gpcan2016_Ladies_SP_Scores.pdf,LADIES SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG003OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_SP_Scores.pdf,Kenji AMAKO
Mr. Feng HUANG,CHN,Judge No.4,Short Program|Ladies,5752ad8206_gpcan2016_Ladies_SP_Scores.pdf,LADIES SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG003OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_SP_Scores.pdf,Feng HUANG
Mr. Andreas WALDECK,GER,Judge No.5,Short Program|Ladies,5752ad8206_gpcan2016_Ladies_SP_Scores.pdf,LADIES SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG003OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_SP_Scores.pdf,Andreas WALDECK
Ms. Saodat NUMANOVA,UZB,Judge No.6,Short Program|Ladies,5752ad8206_gpcan2016_Ladies_SP_Scores.pdf,LADIES SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG003OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_SP_Scores.pdf,Saodat NUMANOVA
Ms. Anne CAMMETT,USA,Judge No.7,Short Program|Ladies,5752ad8206_gpcan2016_Ladies_SP_Scores.pdf,LADIES SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG003OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_SP_Scores.pdf,Anne CAMMETT
Ms. Chihee RHEE,KOR,Judge No.8,Short Program|Ladies,5752ad8206_gpcan2016_Ladies_SP_Scores.pdf,LADIES SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG003OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_SP_Scores.pdf,Chihee RHEE
Ms. Karen HOWARD,CAN,Judge No.9,Short Program|Ladies,5752ad8206_gpcan2016_Ladies_SP_Scores.pdf,LADIES SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG003OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Ladies_SP_Scores.pdf,Karen HOWARD
Ms. Anne CAMMETT,USA,Judge No.1,Short Program|Men,ebe9e806a0_gpcan2016_Men_SP_Scores.pdf,MEN SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG001OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_SP_Scores.pdf,Anne CAMMETT
Mr. Kfir NATAN,ISR,Judge No.2,Short Program|Men,ebe9e806a0_gpcan2016_Men_SP_Scores.pdf,MEN SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG001OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_SP_Scores.pdf,Kfir NATAN
Ms. Wei SHI,CHN,Judge No.3,Short Program|Men,ebe9e806a0_gpcan2016_Men_SP_Scores.pdf,MEN SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG001OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_SP_Scores.pdf,Wei SHI
Ms. Lynne DEY,CAN,Judge No.4,Short Program|Men,ebe9e806a0_gpcan2016_Men_SP_Scores.pdf,MEN SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG001OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_SP_Scores.pdf,Lynne DEY
Mr. Marco BUTTARELLI,ITA,Judge No.5,Short Program|Men,ebe9e806a0_gpcan2016_Men_SP_Scores.pdf,MEN SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG001OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_SP_Scores.pdf,Marco BUTTARELLI
Ms. Saodat NUMANOVA,UZB,Judge No.6,Short Program|Men,ebe9e806a0_gpcan2016_Men_SP_Scores.pdf,MEN SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG001OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_SP_Scores.pdf,Saodat NUMANOVA
Mr. Kenji AMAKO,JPN,Judge No.7,Short Program|Men,ebe9e806a0_gpcan2016_Men_SP_Scores.pdf,MEN SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG001OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_SP_Scores.pdf,Kenji AMAKO
Mr. Igor OBRAZTSOV,RUS,Judge No.8,Short Program|Men,ebe9e806a0_gpcan2016_Men_SP_Scores.pdf,MEN SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG001OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_SP_Scores.pdf,Igor OBRAZTSOV
Ms. Vera TAUCHMANOVA,CZE,Judge No.9,Short Program|Men,ebe9e806a0_gpcan2016_Men_SP_Scores.pdf,MEN SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG001OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Men_SP_Scores.pdf,Vera TAUCHMANOVA
Mr. Andreas WALDECK,GER,Judge No.1,Short Program|Pairs,31750ded67_gpcan2016_Pairs_SP_Scores.pdf,PAIRS SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG005OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_SP_Scores.pdf,Andreas WALDECK
Ms. Vera TAUCHMANOVA,CZE,Judge No.2,Short Program|Pairs,31750ded67_gpcan2016_Pairs_SP_Scores.pdf,PAIRS SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG005OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_SP_Scores.pdf,Vera TAUCHMANOVA
Ms. Andrea DERBY,CAN,Judge No.3,Short Program|Pairs,31750ded67_gpcan2016_Pairs_SP_Scores.pdf,PAIRS SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG005OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_SP_Scores.pdf,Andrea DERBY
Ms. Katarina HENRIKSSON,SWE,Judge No.4,Short Program|Pairs,31750ded67_gpcan2016_Pairs_SP_Scores.pdf,PAIRS SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG005OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_SP_Scores.pdf,Katarina HENRIKSSON
Ms. Anne CAMMETT,USA,Judge No.5,Short Program|Pairs,31750ded67_gpcan2016_Pairs_SP_Scores.pdf,PAIRS SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG005OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_SP_Scores.pdf,Anne CAMMETT
Mr. Igor OBRAZTSOV,RUS,Judge No.6,Short Program|Pairs,31750ded67_gpcan2016_Pairs_SP_Scores.pdf,PAIRS SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG005OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_SP_Scores.pdf,Igor OBRAZTSOV
Mr. Marco BUTTARELLI,ITA,Judge No.7,Short Program|Pairs,31750ded67_gpcan2016_Pairs_SP_Scores.pdf,PAIRS SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG005OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_SP_Scores.pdf,Marco BUTTARELLI
Ms. Wei SHI,CHN,Judge No.8,Short Program|Pairs,31750ded67_gpcan2016_Pairs_SP_Scores.pdf,PAIRS SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG005OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_SP_Scores.pdf,Wei SHI
Mr. Jeroen PRINS,NED,Judge No.9,Short Program|Pairs,31750ded67_gpcan2016_Pairs_SP_Scores.pdf,PAIRS SHORT PROGRAM,ISU GP 2016 Skate Canada International,http://www.isuresults.com/results/season1617/gpcan2016/SEG005OF.HTM,http://www.isuresults.com/results/season1617/gpcan2016/gpcan2016_Pairs_SP_Scores.pdf,Jeroen PRINS
Ms. Laimute KRAUZIENE,LTU,Judge No.1,Free Dance|Ice Dance,17be5970bb_gpusa2017_IceDance_FD_Scores.pdf,ICE DANCE FREE DANCE,ISU GP 2017 Bridgestone Skate America,http://www.isuresults.com/results/season1718/gpusa2017/SEG008OF.HTM,http://www.isuresults.com/results/season1718/gpusa2017/gpusa2017_IceDance_FD_Scores.pdf,Laimute KRAUZIENE
