judge_name,assigned_country,role,segment_category,pdf_name,program,competition,officials_table_link,results_pdf_link,clean_judge_name
Mr. David MUNOZ,ESP,Judge No.8,Free Dance|Junior Ice Dance,af6fbba80b_data0805.pdf,JUNIOR ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0850.htm,http://www.isuresults.com/results/season1718/gpf1718/data0805.pdf,David MUNOZ
Ms. Christine HURTH,FRA,Judge No.9,Free Dance|Junior Ice Dance,af6fbba80b_data0805.pdf,JUNIOR ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0850.htm,http://www.isuresults.com/results/season1718/gpf1718/data0805.pdf,Christine HURTH
Mr. Paolo PIZZOCARI,ITA,Judge No.1,Free Skating|Junior Ladies,d5260b9e94_data0605.pdf,JUNIOR LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0650.htm,http://www.isuresults.com/results/season1718/gpf1718/data0605.pdf,Paolo PIZZOCARI
Ms. Saodat NUMANOVA,UZB,Judge No.2,Free Skating|Junior Ladies,d5260b9e94_data0605.pdf,JUNIOR LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0650.htm,http://www.isuresults.com/results/season1718/gpf1718/data0605.pdf,Saodat NUMANOVA
Ms. Olga KOZHEMIAKINA,RUS,Judge No.3,Free Skating|Junior Ladies,d5260b9e94_data0605.pdf,JUNIOR LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0650.htm,http://www.isuresults.com/results/season1718/gpf1718/data0605.pdf,Olga KOZHEMIAKINA
Mr. Kenji AMAKO,JPN,Judge No.4,Free Skating|Junior Ladies,d5260b9e94_data0605.pdf,JUNIOR LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0650.htm,http://www.isuresults.com/results/season1718/gpf1718/data0605.pdf,Kenji AMAKO
Ms. Elizabeth ALEXANDRE,AUS,Judge No.5,Free Skating|Junior Ladies,d5260b9e94_data0605.pdf,JUNIOR LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0650.htm,http://www.isuresults.com/results/season1718/gpf1718/data0605.pdf,Elizabeth  ALEXANDRE
Ms. Chihee RHEE,KOR,Judge No.6,Free Skating|Junior Ladies,d5260b9e94_data0605.pdf,JUNIOR LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0650.htm,http://www.isuresults.com/results/season1718/gpf1718/data0605.pdf,Chihee RHEE
Ms. Tamie K. CAMPBELL,USA,Judge No.7,Free Skating|Junior Ladies,d5260b9e94_data0605.pdf,JUNIOR LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0650.htm,http://www.isuresults.com/results/season1718/gpf1718/data0605.pdf,Tamie K. CAMPBELL
Ms. Weiguang CHEN,CHN,Judge No.8,Free Skating|Junior Ladies,d5260b9e94_data0605.pdf,JUNIOR LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0650.htm,http://www.isuresults.com/results/season1718/gpf1718/data0605.pdf,Weiguang CHEN
Mr. Jeff LUKASIK,CAN,Judge No.9,Free Skating|Junior Ladies,d5260b9e94_data0605.pdf,JUNIOR LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0650.htm,http://www.isuresults.com/results/season1718/gpf1718/data0605.pdf,Jeff LUKASIK
Mr. Anthony LEROY,FRA,Judge No.1,Free Skating|Junior Men,3ff3c2e964_data0505.pdf,JUNIOR MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0550.htm,http://www.isuresults.com/results/season1718/gpf1718/data0505.pdf,Anthony LEROY
Ms. Olga KOZHEMIAKINA,RUS,Judge No.2,Free Skating|Junior Men,3ff3c2e964_data0505.pdf,JUNIOR MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0550.htm,http://www.isuresults.com/results/season1718/gpf1718/data0505.pdf,Olga KOZHEMIAKINA
Mr. Kersten BELLMANN,GER,Judge No.3,Free Skating|Junior Men,3ff3c2e964_data0505.pdf,JUNIOR MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0550.htm,http://www.isuresults.com/results/season1718/gpf1718/data0505.pdf,Kersten  BELLMANN
Ms. Leanna CARON,CAN,Judge No.4,Free Skating|Junior Men,3ff3c2e964_data0505.pdf,JUNIOR MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0550.htm,http://www.isuresults.com/results/season1718/gpf1718/data0505.pdf,Leanna CARON
Ms. Sakae YAMAMOTO,JPN,Judge No.5,Free Skating|Junior Men,3ff3c2e964_data0505.pdf,JUNIOR MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0550.htm,http://www.isuresults.com/results/season1718/gpf1718/data0505.pdf,Sakae YAMAMOTO
Ms. Emilie BILLOW,SWE,Judge No.6,Free Skating|Junior Men,3ff3c2e964_data0505.pdf,JUNIOR MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0550.htm,http://www.isuresults.com/results/season1718/gpf1718/data0505.pdf,Emilie BILLOW
Ms. Deveny DECK,USA,Judge No.7,Free Skating|Junior Men,3ff3c2e964_data0505.pdf,JUNIOR MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0550.htm,http://www.isuresults.com/results/season1718/gpf1718/data0505.pdf,Deveny DECK
Ms. Saodat NUMANOVA,UZB,Judge No.8,Free Skating|Junior Men,3ff3c2e964_data0505.pdf,JUNIOR MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0550.htm,http://www.isuresults.com/results/season1718/gpf1718/data0505.pdf,Saodat NUMANOVA
Ms. Weiguang CHEN,CHN,Judge No.9,Free Skating|Junior Men,3ff3c2e964_data0505.pdf,JUNIOR MEN FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0550.htm,http://www.isuresults.com/results/season1718/gpf1718/data0505.pdf,Weiguang CHEN
